Year,City,Population,In-migration,Out-migration,Net-migration
2018,KIRSEHIR,241868,15835,12144,3691
2018,KOCAELI,1906391,80457,79970,487
2018,KONYA,2205609,58300,60571,-2271
2018,KUTAHYA,577941,22582,20392,2190
2018,MALATYA,797036,36901,35234,1667
2018,MANISA,1429643,41189,39056,2133
2018,KAHRAMANMARAS,1144851,33619,33661,-42
2018,MARDIN,829195,30216,31738,-1522
2018,MUGLA,967487,52642,34302,18340
2018,MUS,407992,15742,20789,-5047
2018,NEVSEHIR,298339,13120,12315,805
2018,NIGDE,364707,22654,15676,6978
2018,ORDU,771932,54813,30152,24661
2018,RIZE,348608,31266,16413,14853
2018,SAKARYA,1010700,37659,32704,4955
2018,SAMSUN,1335716,53228,48543,4685
2018,SIIRT,331670,15017,15726,-709
2018,SINOP,219733,20922,9793,11129
2018,SIVAS,646608,45861,26271,19590
2018,TEKIRDAG,1029927,53895,41010,12885
2018,TOKAT,612646,46391,41326,5065
2018,TRABZON,807903,46593,33344,13249
2018,TUNCELI,88198,11211,5884,5327
2018,SANLIURFA,2035809,44448,56748,-12300
2018,USAK,367514,13691,13011,680
2018,VAN,1123784,34691,44954,-10263
2018,YOZGAT,424981,25715,22524,3191
2018,ZONGULDAK,599698,24363,24105,258
2018,AKSARAY,412172,16680,14441,2239
2018,BAYBURT,82274,9450,7772,1678
2018,KARAMAN,251913,12777,10448,2329
2018,KIRIKKALE,286602,20575,15076,5499
2018,BATMAN,599103,23099,22525,574
2018,SIRNAK,524190,19779,15485,4294
2018,BARTIN,198999,13399,8813,4586
2018,ARDAHAN,98907,7342,6376,966
2018,IGDIR,197456,9225,10122,-897
2018,YALOVA,262234,16232,12905,3327
2018,KARABUK,248014,18384,17433,951
2018,KILIS,142541,8861,6929,1932
2018,OSMANIYE,534415,19965,20900,-935
2018,DUZCE,387844,17445,12790,4655
2017,ADANA,2216475,49509,62834,-13325
2017,ADIYAMAN,615076,18040,22741,-4701
2017,AFYONKARAHISAR,715693,21453,25483,-4030
2017,AGRI,536285,15088,32479,-17391
2017,AMASYA,329888,14326,14675,-349
2017,ANKARA,5445026,188100,156058,32042
2017,ANTALYA,2364396,87232,72178,15054
2017,ARTVIN,166143,7788,10146,-2358
2017,AYDIN,1080839,41352,35339,6013
2017,BALIKESIR,1204824,43998,40371,3627
2017,BILECIK,221693,11744,9359,2385
2017,BINGOL,273354,11979,11941,38
2017,BITLIS,341474,12989,19097,-6108
2017,BOLU,303184,14839,13643,1196
2017,BURDUR,264779,12745,11786,959
2017,BURSA,2936803,86119,64905,21214
2017,CANAKKALE,530417,26088,20540,5548
2017,CANKIRI,186074,13849,13504,345
2017,CORUM,528422,17214,20880,-3666
2017,DENIZLI,1018735,28855,25466,3389
2017,DIYARBAKIR,1699901,40493,48983,-8490
2017,EDIRNE,406855,19125,15999,3126
2017,ELAZIG,583671,20406,22054,-1648
2017,ERZINCAN,231511,15162,14210,952
2017,ERZURUM,760476,26624,37358,-10734
2017,ESKISEHIR,860620,38060,27799,10261
2017,GAZIANTEP,2005515,47431,50485,-3054
2017,GIRESUN,437393,25529,34675,-9146
2017,GUMUSHANE,170173,18795,27348,-8553
2017,HAKKARI,275761,9997,10380,-383
2017,HATAY,1575226,33745,40623,-6878
2017,ISPARTA,433830,18222,18818,-596
2017,MERSIN,1793931,54492,55393,-901
2017,ISTANBUL,15029231,416587,422559,-5972
2017,IZMIR,4279677,127394,102776,24618
2017,KARS,287654,11588,17119,-5531
2017,KASTAMONU,372373,18729,20052,-1323
2017,KAYSERI,1376722,38958,36863,2095
2017,KIRKLARELI,356050,16074,14023,2051
2017,KIRSEHIR,234529,10840,11329,-489
2017,KOCAELI,1883270,87796,60258,27538
